project_name,tenderer,winner,amount,publish_date,region,project_type,notice_type,source_url
河南2023年度数据中心机房建设项目,河南省教育厅,,45613628.62,2023-02-25,河南,服务,招标公告,http://example-gov-bidding.com/article/180
浙江2023年度网络安全设备项目,浙江省教育厅,科技有限责任公司8部,39681160.04,2023-10-21,浙江,货物,中标结果,http://example-gov-bidding.com/article/181
陕西2023年度服务器采购项目,中国XX集团陕西分公司,科技有限责任公司11部,16624151.18,2023-09-25,陕西,工程,中标结果,http://example-gov-bidding.com/article/182
上海2023年度办公电脑采购项目,上海省教育厅,科技有限责任公司14部,2195043.56,2023-12-25,上海,货物,中标结果,http://example-gov-bidding.com/article/183
山东2023年度办公电脑采购项目,山东市公安局,科技有限责任公司9部,27415566.82,2023-06-26,山东,货物,变更公告,http://example-gov-bidding.com/article/184
湖北2023年度云服务租赁项目,湖北市公安局,,48285540.38,2023-09-06,湖北,货物,招标公告,http://example-gov-bidding.com/article/185
河南2023年度智慧城市系统项目,河南市公安局,科技有限责任公司3部,5788564.87,2023-10-27,河南,服务,变更公告,http://example-gov-bidding.com/article/186
上海2023年度数据中心机房建设项目,上海市公安局,科技有限责任公司19部,34929609.24,2023-07-27,上海,服务,变更公告,http://example-gov-bidding.com/article/187
陕西2023年度网络安全设备项目,中国XX集团陕西分公司,,9556908.93,2023-01-11,陕西,货物,招标公告,http://example-gov-bidding.com/article/188
四川2023年度政务云迁移项目,中国XX集团四川分公司,科技有限责任公司1部,27771583.73,2023-07-21,四川,服务,中标结果,http://example-gov-bidding.com/article/189
河南2023年度办公电脑采购项目,河南市公安局,,5624475.84,2023-01-19,河南,货物,招标公告,http://example-gov-bidding.com/article/190
河南2023年度办公电脑采购项目,河南市公安局,,5624475.84,2023-01-19,河南,货物,招标公告,http://example-gov-bidding.com/article/190
陕西2023年度云服务租赁项目,陕西省教育厅,科技有限责任公司13部,45815669.17,2023-03-14,陕西,货物,变更公告,http://example-gov-bidding.com/article/191
湖北2023年度安防监控工程项目,湖北市公安局,科技有限责任公司15部,30288487.26,2023-01-30,湖北,工程,中标结果,http://example-gov-bidding.com/article/192
广东2023年度信息化改造项目,广东市公安局,科技有限责任公司11部,37250787.73,2023-04-30,广东,工程,中标结果,http://example-gov-bidding.com/article/193
广东2023年度安防监控工程项目,广东市公安局,,14898375.32,2023-12-02,广东,工程,招标公告,http://example-gov-bidding.com/article/194
浙江2023年度智慧城市系统项目,浙江市公安局,科技有限责任公司13部,28801240.87,2023-06-10,浙江,货物,变更公告,http://example-gov-bidding.com/article/195
浙江2023年度智慧城市系统项目,浙江市公安局,科技有限责任公司13部,28801240.87,2023-06-10,浙江,货物,变更公告,http://example-gov-bidding.com/article/195
山东2023年度数据中心机房建设项目,中国XX集团山东分公司,科技有限责任公司12部,11458988.78,2023-06-25,山东,服务,中标结果,http://example-gov-bidding.com/article/196
山东2023年度数据中心机房建设项目,山东省教育厅,科技有限责任公司14部,48065167.96,2023-01-06,山东,工程,变更公告,http://example-gov-bidding.com/article/197
浙江2023年度云服务租赁项目,浙江市公安局,科技有限责任公司8部,27433189.69,2023-04-29,浙江,工程,变更公告,http://example-gov-bidding.com/article/198
上海2023年度信息化改造项目,中国XX集团上海分公司,,24151345.58,2023-07-13,上海,工程,招标公告,http://example-gov-bidding.com/article/199
陕西2023年度服务器采购项目,中国XX集团陕西分公司,,43654495.47,2023-05-15,陕西,工程,招标公告,http://example-gov-bidding.com/article/200
